Theta, Alpha, Low_beta, High_beta, Gamma
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.00490064,0.00465685,0.00429306,0.00514807,0.00596265,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0051452,0.00469642,0.00624255,0.00619669,0.00806947,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.0060225,0.00528143,0.0095745,0.00801738,0.0111988,
0.00733367,0.00615532,0.0136597,0.0101715,0.0146998,
0.00733367,0.00615532,0.0136597,0.0101715,0.0146998,
0.00733367,0.00615532,0.0136597,0.0101715,0.0146998,
